forget_cluster,geo_L1_forget,n_L1_forget,geo_L2_locality,n_L2_locality,geo_L3_spillover,n_L3_spillover
triplet_088,1.6505631168082866,50,1.229514651763653,100,1.1733881686100411,4950
triplet_089,1.8989058675370192,50,1.279703446795389,100,1.208439869818629,4950
triplet_090,1.8794950079233246,50,1.1997378429847159,100,1.166855594212586,4950
triplet_091,1.9561405491931594,50,1.250795572406639,100,1.1662249778272475,4950
triplet_092,1.9368014961669329,50,1.2349336250752794,100,1.1737371740972973,4950
triplet_093,1.8939807481978967,50,1.2274791485536631,100,1.153342326035014,4950
triplet_094,1.9377166107808343,50,1.2319567249007788,100,1.176326247121411,4950
triplet_095,1.6518403646153297,50,1.205800769248354,100,1.1167688110158611,4950
triplet_096,1.9357276839295638,50,1.2534509214166225,100,1.1800135505357225,4950
triplet_097,2.0232055069254864,50,1.2683553746542162,100,1.1550659462429278,4950
triplet_098,1.8875461054177114,50,1.2233860058233386,100,1.1580390314997342,4950
triplet_099,2.0527308137985094,50,1.2689384121134641,100,1.1818684045270087,4950
triplet_100,2.0545448735621012,50,1.2683227346499628,100,1.1699109194793047,4950
