forget_cluster,eval_cluster,split,sample_index,layer,log_ppl_ratio
triplet_001,triplet_021,test,46,L3_spillover,0.22169472564423726
triplet_001,triplet_021,test,47,L3_spillover,0.06506359334706187
triplet_001,triplet_021,test,48,L3_spillover,0.13423007322156305
triplet_001,triplet_021,test,49,L3_spillover,0.03212448680376964
triplet_001,triplet_031,test,0,L3_spillover,0.07295709160316687
triplet_001,triplet_031,test,1,L3_spillover,0.0471229701300971
triplet_001,triplet_031,test,2,L3_spillover,0.11057765193511328
triplet_001,triplet_031,test,3,L3_spillover,0.06935910478165104
triplet_001,triplet_031,test,4,L3_spillover,0.0655646884928833
triplet_001,triplet_031,test,5,L3_spillover,0.03969252255104035
triplet_001,triplet_031,test,6,L3_spillover,0.07223016793674295
triplet_001,triplet_031,test,7,L3_spillover,0.04918086548325123
triplet_001,triplet_031,test,8,L3_spillover,0.06561334816229901
triplet_001,triplet_031,test,9,L3_spillover,0.09439015608167807
triplet_001,triplet_031,test,10,L3_spillover,0.05067823663660573
triplet_001,triplet_031,test,11,L3_spillover,0.058305449595504974
triplet_001,triplet_031,test,12,L3_spillover,0.11416312220124898
triplet_001,triplet_031,test,13,L3_spillover,0.06198661162137714
triplet_001,triplet_031,test,14,L3_spillover,0.0668722444837913
triplet_001,triplet_031,test,15,L3_spillover,0.04546237407675741
triplet_001,triplet_031,test,16,L3_spillover,0.05925904141232262
triplet_001,triplet_031,test,17,L3_spillover,0.024363153973839098
triplet_001,triplet_031,test,18,L3_spillover,0.026575798583613315
triplet_001,triplet_031,test,19,L3_spillover,0.06478249583512005
triplet_001,triplet_031,test,20,L3_spillover,0.027484553258949104
triplet_001,triplet_031,test,21,L3_spillover,0.025975486403260736
triplet_001,triplet_031,test,22,L3_spillover,0.10358313238609541
triplet_001,triplet_031,test,23,L3_spillover,0.03239635439375584
triplet_001,triplet_031,test,24,L3_spillover,0.0334369324227941
triplet_001,triplet_031,test,25,L3_spillover,0.033168682460028735
triplet_001,triplet_031,test,26,L3_spillover,0.0291495982948856
triplet_001,triplet_031,test,27,L3_spillover,0.10531285007951464
triplet_001,triplet_031,test,28,L3_spillover,0.05355906535711025
triplet_001,triplet_031,test,29,L3_spillover,0.04158148257248852
triplet_001,triplet_031,test,30,L3_spillover,0.023716526617316065
triplet_001,triplet_031,test,31,L3_spillover,0.012578782206860185
